,id,host_id,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,with_wifi,with_air_conditioning,with_cable_tv,pets_allowed
4956,25725596,193477962,a few days or more,0.0,0.0,1.0,1.0,1.0,0.0,Marina,37.797909999999995,-122.42924,1.0,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,450.0,,,1,0.0,30,1118,30,30,1118,1118,30.0,1118.0,17 months ago,30,60,90,365,1.0,1.0,flexible,0.0,0.0,1,1,0,0,,0.0,0.0,0.0,0.0
4957,25728058,6169666,within an hour,100.0,1.0,2.0,2.0,1.0,1.0,South of Market,37.77093,-122.40463999999999,1.0,Apartment,Private room,3,1.0,1.0,1.0,Real Bed,171.0,0.0,79.0,2,99.0,1,365,1,1,365,365,1.0,365.0,a week ago,8,27,56,56,1.0,1.0,moderate,0.0,0.0,1,0,1,0,6.04,1.0,1.0,1.0,0.0
4958,25730240,4152894,within an hour,100.0,1.0,2.0,2.0,1.0,1.0,Castro/Upper Market,37.76035,-122.44061,1.0,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,135.0,150.0,120.0,1,0.0,3,30,3,3,30,30,3.0,30.0,6 weeks ago,19,42,72,162,1.0,1.0,moderate,0.0,0.0,2,0,2,0,2.39,1.0,1.0,0.0,0.0
4959,25733610,3153014,within an hour,100.0,1.0,15.0,15.0,1.0,0.0,Marina,37.80041,-122.44533,1.0,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,158.0,395.0,149.0,1,17.0,30,90,30,30,90,90,30.0,90.0,2 months ago,30,60,90,365,1.0,1.0,strict_14_with_grace_period,0.0,1.0,1,1,0,0,,1.0,0.0,1.0,0.0
4960,25741718,59611846,within a day,90.0,1.0,5.0,5.0,1.0,1.0,Parkside,37.74382,-122.48188999999999,1.0,House,Shared room,1,1.0,1.0,1.0,Real Bed,38.0,0.0,40.0,1,40.0,30,1125,30,30,1125,1125,30.0,1125.0,3 months ago,30,60,90,90,1.0,0.0,flexible,0.0,0.0,6,0,1,5,0.14,1.0,0.0,0.0,0.0
4961,25749954,187334221,within an hour,100.0,0.0,5.0,5.0,1.0,0.0,Outer Sunset,37.7629,-122.50421000000001,1.0,House,Private room,2,1.0,1.0,1.0,Real Bed,72.0,0.0,50.0,1,0.0,1,14,1,1,14,14,1.0,14.0,6 months ago,9,25,44,131,1.0,1.0,moderate,0.0,0.0,4,0,4,0,7.5,1.0,0.0,0.0,0.0
4962,25774811,1682188,within a few hours,96.0,0.0,51.0,51.0,1.0,0.0,Nob Hill,37.791129999999995,-122.41838999999999,1.0,House,Shared room,1,1.0,1.0,1.0,Real Bed,40.0,0.0,40.0,1,0.0,30,1125,30,30,1125,1125,30.0,1125.0,today,2,29,59,334,1.0,1.0,strict_14_with_grace_period,1.0,1.0,35,0,9,26,,1.0,1.0,0.0,0.0
4963,25775179,1682188,within a few hours,96.0,0.0,51.0,51.0,1.0,0.0,Nob Hill,37.79128,-122.41967,1.0,House,Private room,1,1.0,1.0,1.0,Real Bed,65.0,,,1,0.0,30,1125,30,30,1125,1125,30.0,1125.0,today,0,0,30,305,1.0,1.0,strict_14_with_grace_period,1.0,1.0,35,0,9,26,,1.0,0.0,0.0,0.0
4964,25776536,629004,within an hour,100.0,1.0,4.0,4.0,1.0,0.0,Marina,37.79835,-122.42545,1.0,House,Private room,2,1.0,1.0,1.0,Real Bed,145.0,0.0,85.0,1,49.0,2,28,2,4,28,28,2.0,28.0,today,6,31,61,86,1.0,1.0,moderate,0.0,0.0,3,1,2,0,3.19,1.0,0.0,0.0,0.0
4965,25779484,191612875,within an hour,89.0,0.0,1.0,1.0,1.0,0.0,Marina,37.79789,-122.4385,1.0,Bed and breakfast,Private room,2,1.0,0.0,1.0,Real Bed,86.0,,,1,0.0,3,16,3,3,16,16,3.0,16.0,3 months ago,0,0,0,0,1.0,1.0,flexible,0.0,0.0,1,0,1,0,2.67,1.0,0.0,0.0,0.0
